PDF Name,Text from 2nd last <td>,Download Link
"Tuesday, 16th May, 2023","Tuesday, 16th May, 2023",https://na.gov.pk/uploads/documents/646deced06fd9_637.pdf
"Monday, 15th May, 2023","Monday, 15th May, 2023",https://na.gov.pk/uploads/documents/646c3441cad26_177.pdf
"Tuesday, 9th May, 2023","Tuesday, 9th May, 2023",https://na.gov.pk/uploads/documents/6465be52cc49a_180.pdf
"Monday, 8th May, 2023","Monday, 8th May, 2023",https://na.gov.pk/uploads/documents/6464b2751fe55_725.pdf
"Thursday, 4th May, 2023","Thursday, 4th May, 2023",https://na.gov.pk/uploads/documents/64621165d9834_183.pdf
"Wednesday, 3rd May, 2023","Wednesday, 3rd May, 2023",https://na.gov.pk/uploads/documents/645e0ed050dc5_392.pdf
"Tuesday, 2nd May, 2023","Tuesday, 2nd May, 2023",https://na.gov.pk/uploads/documents/645a1bbe9ceed_958.pdf
"Friday, 28th April, 2023","Friday, 28th April, 2023",https://na.gov.pk/uploads/documents/6459bfc63421a_122.pdf
"Thursday, 27th April, 2023","Thursday, 27th April, 2023",https://na.gov.pk/uploads/documents/6459f7759ce88_901.pdf
"Wednesday, 26th April, 2023","Wednesday, 26th April, 2023",https://na.gov.pk/uploads/documents/6453533a5091d_295.pdf
"Wednesday, 19th April, 2023","Wednesday, 19th April, 2023",https://na.gov.pk/uploads/documents/6451ff4f556e8_125.pdf
"Tuesday, 18th April, 2023","Tuesday, 18th April, 2023",https://na.gov.pk/uploads/documents/6450addb5ca01_555.pdf
"Monday, 17th April, 2023","Monday, 17th April, 2023",https://na.gov.pk/uploads/documents/6451089cde8a6_522.pdf
"Friday, 14th April, 2023","Friday, 14th April, 2023",https://na.gov.pk/uploads/documents/644a5a8f01ed7_926.pdf
"Thursday, 13th April, 2023","Thursday, 13th April, 2023",https://na.gov.pk/uploads/documents/64523f07cbfd7_899.pdf
"Monday, 10th April, 2023","Monday, 10th April, 2023",https://na.gov.pk/uploads/documents/6440e2b34a559_135.pdf
"Friday, 7th April, 2023","Friday, 7th April, 2023",https://na.gov.pk/uploads/documents/643e596b7b488_710.pdf
"Thursday, 6th April, 2023","Thursday, 6th April, 2023",https://na.gov.pk/uploads/documents/644a1f2ec3671_641.pdf
"Wednesday, 5th April, 2023","Wednesday, 5th April, 2023",https://na.gov.pk/uploads/documents/64671d34db6b3_256.pdf
"Tuesday, 4th April, 2023","Tuesday, 4th April, 2023",https://na.gov.pk/uploads/documents/643fbd21192e2_781.pdf
"Monday, 3rd April, 2023","Monday, 3rd April, 2023",https://na.gov.pk/uploads/documents/643d0891ef52b_862.pdf
"Friday, 31st March, 2023","Friday, 31st March, 2023",https://na.gov.pk/uploads/documents/6437c902654b8_198.pdf
"Thursday, 30th March, 2023","Thursday, 30th March, 2023",https://na.gov.pk/uploads/documents/6436505258cef_933.pdf
"Wednesday, 29th March, 2023","Wednesday, 29th March, 2023",https://na.gov.pk/uploads/documents/6438fae045526_829.pdf
"Tuesday, 28th March, 2023","Tuesday, 28th March, 2023",https://na.gov.pk/uploads/documents/64351d88c4757_438.pdf
"Monday, 27th March, 2023","Monday, 27th March, 2023",https://na.gov.pk/uploads/documents/642bc29cc4046_961.pdf
"Wednesday, 9th August, 2023","Wednesday, 9th August, 2023",https://na.gov.pk/uploads/documents/64f97abe0edd6_928.pdf
"Tuesday, 8th August, 2023","Tuesday, 8th August, 2023",https://na.gov.pk/uploads/documents/64f19e715939d_181.pdf
"Monday, 7th August, 2023","Monday, 7th August, 2023",https://na.gov.pk/uploads/documents/64f7f5ee25d67_567.pdf
"Friday, 4th August, 2023","Friday, 4th August, 2023",https://na.gov.pk/uploads/documents/64dc9dc86acb7_589.pdf
"Thursday, 3rd August, 2023","Thursday, 3rd August, 2023",https://na.gov.pk/uploads/documents/64f02dc64ebd2_502.pdf
"Wednesday, 2nd August, 2023","Wednesday, 2nd August, 2023",https://na.gov.pk/uploads/documents/64f6e07cc0883_265.pdf
"Tuesday, 1st August, 2023","Tuesday, 1st August, 2023",https://na.gov.pk/uploads/documents/64ed65bed0de8_267.pdf
"Monday, 31st July, 2023","Monday, 31st July, 2023",https://na.gov.pk/uploads/documents/64d0ef1ece648_246.pdf
"Thursday, 27th July, 2023","Thursday, 27th July, 2023",https://na.gov.pk/uploads/documents/64e5df8390c4a_628.pdf
"Monday, 24th July, 2023","Monday, 24th July, 2023",https://na.gov.pk/uploads/documents/64ca3860356eb_820.pdf
"Friday, 21st July, 2023","Friday, 21st July, 2023",https://na.gov.pk/uploads/documents/64c0c4751124c_137.pdf
"Thursday, 20th July, 2023","Thursday, 20th July, 2023",https://na.gov.pk/uploads/documents/650963597799a_642.pdf
"Monday, 13th September, 2021","Monday, 13th September, 2021",https://na.gov.pk/uploads/documents/1632139629_686.pdf
"Friday, 1st October, 2021","Friday, 1st October, 2021",https://na.gov.pk/uploads/documents/1633515480_818.pdf
"Wednesday, 29th September, 2021","Wednesday, 29th September, 2021",https://na.gov.pk/uploads/documents/63ecc85f2d811_731.pdf
"Tuesday, 28th September, 2021","Tuesday, 28th September, 2021",https://na.gov.pk/uploads/documents/1633505198_292.pdf
"Monday, 27th September, 2021","Monday, 27th September, 2021",https://na.gov.pk/uploads/documents/1633338942_737.pdf
"Friday, 24th September, 2021","Friday, 24th September, 2021",https://na.gov.pk/uploads/documents/1632918784_319.pdf
"Wednesday, 22nd September, 2021","Wednesday, 22nd September, 2021",https://na.gov.pk/uploads/documents/1632921832_414.pdf
"Tuesday, 21st September, 2021","Tuesday, 21st September, 2021",https://na.gov.pk/uploads/documents/63ecc7cd1ef9b_483.pdf
"Monday, 20th September, 2021","Monday, 20th September, 2021",https://na.gov.pk/uploads/documents/1632480075_581.pdf
"Friday, 17th September, 2021","Friday, 17th September, 2021",https://na.gov.pk/uploads/documents/1632380573_832.pdf
"Friday, 22nd October, 2021","Friday, 22nd October, 2021",https://na.gov.pk/uploads/documents/1636111214_233.pdf
"Thursday, 21st October, 2021","Thursday, 21st October, 2021",https://na.gov.pk/uploads/documents/1636086987_595.pdf
"Wednesday, 20th October, 2021","Wednesday, 20th October, 2021",https://na.gov.pk/uploads/documents/1636023569_484.pdf
"Monday, 18th October, 2021","Monday, 18th October, 2021",https://na.gov.pk/uploads/documents/1635835367_272.pdf
"Friday, 15th October, 2021","Friday, 15th October, 2021",https://na.gov.pk/uploads/documents/1634720556_754.pdf
